heure_aggr,TP_s,date,heure,jour
2018-07-07 19:18:00,482.72453819566664,2018-07-07 19:18:00,19:18,2018/07/07
2018-07-07 19:24:00,489.60666539766675,2018-07-07 19:24:00,19:24,2018/07/07
2018-07-07 19:30:00,482.70134759683333,2018-07-07 19:30:00,19:30,2018/07/07
2018-07-07 19:36:00,477.3556619975,2018-07-07 19:36:00,19:36,2018/07/07
2018-07-07 19:42:00,480.24747239516665,2018-07-07 19:42:00,19:42,2018/07/07
2018-07-07 19:48:00,486.0462347963333,2018-07-07 19:48:00,19:48,2018/07/07
2018-07-07 19:54:00,535.8799961971666,2018-07-07 19:54:00,19:54,2018/07/07
2018-07-07 20:00:00,507.8930015968333,2018-07-07 20:00:00,20:00,2018/07/07
2018-07-07 20:06:00,478.8229799943333,2018-07-07 20:06:00,20:06,2018/07/07
2018-07-07 20:12:00,482.84678999500005,2018-07-07 20:12:00,20:12,2018/07/07
2018-07-07 20:18:00,492.49817819450004,2018-07-07 20:18:00,20:18,2018/07/07
2018-07-07 20:24:00,474.7678223996667,2018-07-07 20:24:00,20:24,2018/07/07
2018-07-07 20:30:00,463.67816459833335,2018-07-07 20:30:00,20:30,2018/07/07
2018-07-07 20:36:00,493.623150597,2018-07-07 20:36:00,20:36,2018/07/07
2018-07-07 20:42:00,477.8950139971667,2018-07-07 20:42:00,20:42,2018/07/07
2018-07-07 20:48:00,448.70285459766666,2018-07-07 20:48:00,20:48,2018/07/07
2018-07-07 20:54:00,476.92267799616667,2018-07-07 20:54:00,20:54,2018/07/07
2018-07-07 21:00:00,502.908340797,2018-07-07 21:00:00,21:00,2018/07/07
2018-07-07 21:06:00,507.54135359416676,2018-07-07 21:06:00,21:06,2018/07/07
2018-07-07 21:12:00,502.52040119266667,2018-07-07 21:12:00,21:12,2018/07/07
2018-07-07 21:18:00,494.57936939649994,2018-07-07 21:18:00,21:18,2018/07/07
2018-07-07 21:24:00,474.29063099883336,2018-07-07 21:24:00,21:24,2018/07/07
2018-07-07 21:30:00,468.7482305985,2018-07-07 21:30:00,21:30,2018/07/07
